frequency,amplitude
7.25,6.783589117214621e-11
7.300000000000001,1.0052912044914966e-10
7.3500000000000005,1.0813734688956247e-10
7.4,6.554744111455606e-11
7.45,3.461282585782359e-11
7.5,1.5720109267917109e-10
7.550000000000001,2.989706490324485e-10
7.6000000000000005,4.2596282318784706e-10
7.65,5.112562413516706e-10
7.7,5.278567685353153e-10
7.75,4.811689768181434e-10
7.800000000000001,3.7748208497295627e-10
7.8500000000000005,2.467875263580076e-10
7.9,1.0048184488789052e-10
7.95,1.8907111214524838e-11
8.0,9.214550318444106e-11
8.05,1.0729337402482357e-10
8.1,1.00461980500893e-10
8.15,4.842506311750271e-11
8.200000000000001,3.5339899712703175e-11
8.25,7.271518593857789e-11
8.3,8.926344335602161e-11
8.35,6.45147302698815e-11
8.4,1.4781566125209892e-11
8.450000000000001,3.2473441249032315e-11
8.5,4.521667232145119e-11
8.55,3.265088240889766e-11
8.6,3.005581252843724e-11
8.65,1.6804929995242747e-11
8.700000000000001,1.2078611347734462e-11
8.75,3.285165928646304e-11
8.8,3.329873926110838e-11
8.85,3.585403931480493e-11
8.9,3.935758380838035e-11
8.950000000000001,3.008654116626629e-11
9.0,2.6235222851642772e-11
9.05,3.8691821870050264e-11
9.1,2.133134178812804e-11
9.15,1.0115709526143581e-11
9.200000000000001,9.605444063161872e-12
9.25,1.1407291958123568e-11
9.3,2.1195099352783813e-11
9.35,2.4776036190251366e-11
9.4,1.1182152164601688e-11
9.450000000000001,1.275274022229314e-11
9.5,1.8844439148207818e-11
9.55,4.882263294939794e-12
9.600000000000001,2.8330650517346215e-11
9.65,2.0703796938949755e-11
9.700000000000001,3.809386776399335e-12
9.75,5.539122956587362e-12
9.8,1.6236749176670735e-11
9.850000000000001,1.0211065962785284e-11
9.9,1.0302245284208266e-11
9.950000000000001,9.689241021813857e-12
10.0,1.1957868741979065e-11
10.05,8.706614298515518e-12
10.100000000000001,1.2737390371825497e-11
10.15,6.339135860649137e-12
10.200000000000001,8.407411071273227e-12
10.25,9.089535301235915e-12
10.3,6.219580559520422e-12
10.350000000000001,6.837549889465901e-12
10.4,5.839471739056178e-12
10.450000000000001,3.707650279886604e-12
10.5,7.15015353347669e-12
10.55,8.874151460626605e-12
10.600000000000001,8.527296296351765e-12
10.65,1.2981157159854349e-11
10.700000000000001,5.8988794749938306e-12
10.75,8.80151042882889e-12
10.8,1.5847384158255255e-11
10.850000000000001,2.762657116333478e-11
10.9,2.452230858211686e-11
10.950000000000001,3.1085212833254226e-11
11.0,9.300978804417234e-12
11.05,1.6731046735086294e-11
11.100000000000001,7.651206446662868e-12
11.15,4.508980685702088e-12
11.200000000000001,1.5888111708357434e-11
11.25,1.0468068668959288e-11
11.3,5.602830639656691e-12
11.350000000000001,7.329312248039942e-12
11.4,9.776027758383201e-12
11.450000000000001,1.1545885639351429e-11
11.5,1.3132177893896903e-11
11.55,1.4699548488377844e-11
11.600000000000001,2.699907118721124e-11
11.65,1.1770546526943099e-11
11.700000000000001,1.9039187050829976e-11
11.75,2.390832975246813e-11
11.8,3.358661555398878e-11
11.850000000000001,2.4856843332226212e-11
11.9,3.6774529438080704e-11
11.950000000000001,2.6138401262236333e-11
12.0,1.389606790324249e-11
12.05,5.614799542738045e-12
12.100000000000001,9.28715159513887e-12
12.15,1.5052733987160645e-11
12.200000000000001,7.515925313519193e-12
12.25,3.5094491697281506e-11
12.3,3.540589532076418e-11
12.350000000000001,3.60465701857851e-11
12.4,2.092158364621632e-12
12.450000000000001,5.4507740655126315e-12
12.5,2.6392825680929e-11
12.55,8.154901442076278e-12
12.600000000000001,2.7104879084219104e-11
12.65,2.5734383629418583e-11
12.700000000000001,1.7487655309112754e-11
12.75,1.7792854798514798e-11
12.8,1.0306229524194208e-11
12.850000000000001,1.6786991179135137e-11
12.9,6.246462916626282e-12
12.950000000000001,2.9677451483424837e-12
13.0,1.8330955630366536e-11
13.05,1.3254986799499781e-11
13.100000000000001,1.6725968737269287e-11
13.15,1.366023653297622e-11
13.200000000000001,1.5127758058935102e-11
13.25,5.827079504306611e-12
13.3,4.896784106973133e-12
13.350000000000001,6.270766970564759e-12
13.4,3.181397985124347e-12
13.450000000000001,1.437192267494696e-11
13.5,1.1906125154205094e-11
13.55,5.127503536253895e-12
13.600000000000001,7.044171182601528e-12
13.65,2.80559752634766e-12
13.700000000000001,6.24643803617325e-12
13.75,2.1719729799004326e-11
13.8,4.749932204090092e-12
13.850000000000001,2.1510005794743605e-11
13.9,1.3843156533408371e-11
13.950000000000001,1.3072506072164667e-11
14.0,1.2410836097563953e-11
14.05,6.30686855000867e-12
14.100000000000001,4.743324083172192e-12
14.15,5.366062938616167e-12
14.200000000000001,1.3922356319458366e-11
14.25,1.0954350796612305e-11
14.3,1.089094530563713e-11
14.350000000000001,7.848900539291633e-12
14.4,5.327450600127373e-12
14.450000000000001,4.9517559834994185e-12
14.5,2.468979781399499e-12
14.55,9.045957178320875e-13
14.600000000000001,7.825458659985523e-12
14.65,2.5029225792314047e-12
14.700000000000001,6.480122890898258e-12
14.75,1.2888774316578204e-11
14.8,8.965733574766411e-12
14.850000000000001,1.6081141323223006e-12
14.9,7.227997529999003e-12
14.950000000000001,1.6625970513390391e-12
15.0,5.1371754906001586e-12
15.05,9.336282058896981e-12
15.100000000000001,1.241705343072483e-11
15.15,2.4164044232811407e-11
15.200000000000001,3.096778886236908e-11
15.25,2.8344372725466765e-11
15.3,8.620353573590194e-11
15.350000000000001,6.825783824135074e-11
15.4,5.187303383868692e-11
15.450000000000001,9.311366469934179e-11
15.5,4.98610388188351e-11
15.55,3.1313963416540484e-11
15.600000000000001,3.332574627543766e-11
15.65,2.6682926845489035e-11
15.700000000000001,2.0219365880004467e-11
15.75,7.152287154956726e-12
15.8,4.522843792848098e-12
15.850000000000001,4.587701439426403e-11
15.9,2.578099660564542e-11
15.950000000000001,3.024661802531605e-11
16.0,3.0951555890112216e-11
16.05,3.748176793428896e-11
16.1,2.266388242493813e-11
16.150000000000002,3.3045090640707743e-11
16.2,2.207934583425502e-11
16.25,4.5487774796252695e-11
16.3,5.58634887590714e-11
16.35,1.7821892665925125e-11
16.400000000000002,3.5557212116991396e-11
16.45,4.9826089949999215e-11
16.5,3.023985626093411e-11
16.55,1.4243401750237089e-11
16.6,5.2556928119001416e-12
16.650000000000002,1.6350788237327026e-11
16.7,5.602148029538542e-12
16.75,7.099907080378262e-12
16.8,1.9287872689181397e-11
16.85,1.0588628816784555e-11
16.900000000000002,7.074861442407412e-12
16.95,4.867423924095537e-12
17.0,1.0455942375480246e-11
17.05,2.2694288398961118e-11
17.1,1.519450838247985e-11
17.150000000000002,9.008918134201416e-12
17.2,1.2549660391764053e-11
17.25,1.8441424873893477e-11
17.3,3.040904322246754e-11
17.35,3.521870236939153e-11
17.400000000000002,2.902473032063644e-11
17.45,5.330216194153332e-11
17.5,1.436396728031728e-10
17.55,1.9610582135020257e-10
17.6,1.780957007758503e-10
17.650000000000002,9.325161021140998e-11
17.7,1.1835069889200384e-11
17.75,4.5968163111504305e-11
17.8,3.419160208564577e-11
17.85,9.929135142529457e-12
17.900000000000002,2.3347800880321986e-11
